Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
SPRY2		0.009266420023983715	6.12032560132199e-06	0.00011614401858304297	0.8791342330028895
ASB1		0.010092407769179143	6.12032560132199e-06	0.00011614401858304297	0.8767821137748837
NDRG2		0.013213618490176136	6.12032560132199e-06	0.00011614401858304297	0.8762174639648482
FAM162B		0.013026150477566585	6.12032560132199e-06	0.00011614401858304297	0.8711435212806313
PPM1F		0.00928573186167425	6.12032560132199e-06	0.00011614401858304297	0.8708852196146426
TDRD10		0.009790866818829706	6.12032560132199e-06	0.00011614401858304297	0.8692156225002474
SCN4B		0.013502980455776251	6.12032560132199e-06	0.00011614401858304297	0.868080388279554
ITM2A		0.016121197476854532	6.12032560132199e-06	0.00011614401858304297	0.8573405707924577
VSIR		0.009316977042405781	6.12032560132199e-06	0.00011614401858304297	0.8554473872597443
RASIP1		0.013062272495990701	6.12032560132199e-06	0.00011614401858304297	0.8519481427819341
TSLP			6.12032560132199e-06	0.00011614401858304297	0.8518277725864944
TSPAN7			6.12032560132199e-06	0.00011614401858304297	0.8476203988134847
ITPRIPL1			6.12032560132199e-06	0.00011614401858304297	0.8472891677466149
GNAL			6.12032560132199e-06	0.00011614401858304297	0.8469708256796554
CACHD1			6.12032560132199e-06	0.00011614401858304297	0.8431617516280032
AQP1			6.12032560132199e-06	0.00011614401858304297	0.8429961774550276
METTL7A			6.12032560132199e-06	0.00011614401858304297	0.8400301772007696
LHFP			6.12032560132199e-06	0.00011614401858304297	0.8398485303602149
LIMS2			6.12032560132199e-06	0.00011614401858304297	0.8390634870558078
ANXA1			6.12032560132199e-06	0.00011614401858304297	0.8370613798665224
GIPC2			6.12032560132199e-06	0.00011614401858304297	0.8354824625737229
ANKRD29			6.12032560132199e-06	0.00011614401858304297	0.8342858310054516
TMEM220			6.12032560132199e-06	0.00011614401858304297	0.8336802081649203
POU6F1			6.12032560132199e-06	0.00011614401858304297	0.8333167447141283
MATN2			6.12032560132199e-06	0.00011614401858304297	0.8312475468469724
BOC			6.12032560132199e-06	0.00011614401858304297	0.8302887673991991
TINAGL1			6.12032560132199e-06	0.00011614401858304297	0.8301860071558838
TMEM246			6.12032560132199e-06	0.00011614401858304297	0.8297939785581132
ADAM33			6.12032560132199e-06	0.00011614401858304297	0.8288943480191718
PGM5			6.12032560132199e-06	0.00011614401858304297	0.8288221010053454
RASL12			6.12032560132199e-06	0.00011614401858304297	0.8286668226515012
GGTA1P			6.12032560132199e-06	0.00011614401858304297	0.8285100424888667
LTBP4			6.12032560132199e-06	0.00011614401858304297	0.8264207329756228
LMOD1			6.12032560132199e-06	0.00011614401858304297	0.8253248127616564
FAM13C			6.12032560132199e-06	0.00011614401858304297	0.8225315841283519
CYYR1			6.12032560132199e-06	0.00011614401858304297	0.8212131146133799
STAT5B			6.12032560132199e-06	0.00011614401858304297	0.8211678466676228
FAXDC2			6.12032560132199e-06	0.00011614401858304297	0.8207785356480647
C10orf128			6.12032560132199e-06	0.00011614401858304297	0.8194259306629371
NAALADL1			6.12032560132199e-06	0.00011614401858304297	0.8193327998904893
KLHL29			6.12032560132199e-06	0.00011614401858304297	0.8188160452961808
ACKR1			6.12032560132199e-06	0.00011614401858304297	0.8183386828721426
KLF13			6.12032560132199e-06	0.00011614401858304297	0.8168863758437609
ROBO3			6.12032560132199e-06	0.00011614401858304297	0.8164601475055713
HSPB2			6.12032560132199e-06	0.00011614401858304297	0.8163291600074627
GRASP			6.12032560132199e-06	0.00011614401858304297	0.8141025731424952
ITGA9			6.12032560132199e-06	0.00011614401858304297	0.8138954806788319
SPARCL1			6.12032560132199e-06	0.00011614401858304297	0.8131271022326132
MAB21L1			6.12032560132199e-06	0.00011614401858304297	0.8128251239893225
ADCY4			6.12032560132199e-06	0.00011614401858304297	0.8120661897966808
FAM107A			6.12032560132199e-06	0.00011614401858304297	0.8105955653101639
ASXL3			6.12032560132199e-06	0.00011614401858304297	0.8103513365044505
MRGPRF			6.12032560132199e-06	0.00011614401858304297	0.8089486800856874
ECSCR			6.12032560132199e-06	0.00011614401858304297	0.808943133674029
APBA1			6.12032560132199e-06	0.00011614401858304297	0.8086267054927104
SYNPO2			6.12032560132199e-06	0.00011614401858304297	0.8085989357164641
PPP1R14A			6.12032560132199e-06	0.00011614401858304297	0.8082553115253551
HOXA4			6.12032560132199e-06	0.00011614401858304297	0.8082169747337762
AL596244.1			6.12032560132199e-06	0.00011614401858304297	0.8076487175837431
S1PR1			6.12032560132199e-06	0.00011614401858304297	0.8068454881846074
CBX7			6.12032560132199e-06	0.00011614401858304297	0.8064715410192156
TAL1			6.12032560132199e-06	0.00011614401858304297	0.8063549351917503
INMT			6.12032560132199e-06	0.00011614401858304297	0.8049888210428684
LMO2			6.12032560132199e-06	0.00011614401858304297	0.804919839508024
RERGL			6.12032560132199e-06	0.00011614401858304297	0.8041550118552977
SYN2			6.12032560132199e-06	0.00011614401858304297	0.8034951751811632
DMD			6.12032560132199e-06	0.00011614401858304297	0.8020865095175387
CAVIN2			6.12032560132199e-06	0.00011614401858304297	0.7992254017571377
RGS6			6.12032560132199e-06	0.00011614401858304297	0.7989997780079021
DIO3OS			6.12032560132199e-06	0.00011614401858304297	0.7974293762882539
MPRIP			6.12032560132199e-06	0.00011614401858304297	0.7974130537208676
PAMR1			6.12032560132199e-06	0.00011614401858304297	0.7964276806282794
TGFBR2			6.12032560132199e-06	0.00011614401858304297	0.794901317353391
SRPX			6.12032560132199e-06	0.00011614401858304297	0.7942548076069184
ARHGEF4			6.12032560132199e-06	0.00011614401858304297	0.7935067751221242
EGFR			6.12032560132199e-06	0.00011614401858304297	0.7934157572008228
BCL6			6.12032560132199e-06	0.00011614401858304297	0.793162816080247
WDR86-AS1			6.12032560132199e-06	0.00011614401858304297	0.7930203515689257
TGFBR3			6.12032560132199e-06	0.00011614401858304297	0.7924885277439336
IL11RA			6.12032560132199e-06	0.00011614401858304297	0.7921089386893841
DUSP6			6.12032560132199e-06	0.00011614401858304297	0.7919073864213807
AC093278.2			6.12032560132199e-06	0.00011614401858304297	0.7918327815551183
MEOX1			6.12032560132199e-06	0.00011614401858304297	0.7902679138729426
PEAR1			6.12032560132199e-06	0.00011614401858304297	0.7901681102310177
KIRREL			6.12032560132199e-06	0.00011614401858304297	0.788247465657236
RGN			6.12032560132199e-06	0.00011614401858304297	0.7872308900267345
ZNF366			6.12032560132199e-06	0.00011614401858304297	0.7868644489900631
ARAP3			6.12032560132199e-06	0.00011614401858304297	0.7867395006061675
MME			6.12032560132199e-06	0.00011614401858304297	0.7864326520791769
ARHGEF10			6.12032560132199e-06	0.00011614401858304297	0.7863631153789075
MFNG			6.12032560132199e-06	0.00011614401858304297	0.7860907847211326
MEIS2			6.12032560132199e-06	0.00011614401858304297	0.7857194617227358
SLIT3			6.12032560132199e-06	0.00011614401858304297	0.7856874343296635
HOTAIRM1			6.12032560132199e-06	0.00011614401858304297	0.7843092732060698
FMO2			6.12032560132199e-06	0.00011614401858304297	0.7840818891776637
PDE2A			6.12032560132199e-06	0.00011614401858304297	0.7833315245217386
C10orf90			6.12032560132199e-06	0.00011614401858304297	0.7830894128492474
IL6R			6.12032560132199e-06	0.00011614401858304297	0.7829993076067971
MMRN2			6.12032560132199e-06	0.00011614401858304297	0.782775309515192
