Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
TMEM220		0.009630449455042838	6.12032560132199e-06	9.049773755656107e-05	0.8956531767175491
TNFRSF10D		0.01278833496659856	6.12032560132199e-06	9.049773755656107e-05	0.8841812447281521
SCN4B		0.012673085868195181	6.12032560132199e-06	9.049773755656107e-05	0.8781239024331878
SH3BGRL2		0.01341058540496554	6.12032560132199e-06	9.049773755656107e-05	0.8765527485768335
GGTA1P		0.015397555086347138	6.12032560132199e-06	9.049773755656107e-05	0.8733007928376119
MATN2		0.01114944077748809	6.12032560132199e-06	9.049773755656107e-05	0.8672209231837175
SPRY2		0.012370762364409267	6.12032560132199e-06	9.049773755656107e-05	0.8647594332898371
RGN		0.010974170475024083	6.12032560132199e-06	9.049773755656107e-05	0.863129812336157
ANXA1		0.012121460192215138	6.12032560132199e-06	9.049773755656107e-05	0.8614183069743111
TDRD10		0.01792239196457779	6.12032560132199e-06	9.049773755656107e-05	0.8586383256346769
GIPC2			6.12032560132199e-06	9.049773755656107e-05	0.8546092784870842
FAXDC2			6.12032560132199e-06	9.049773755656107e-05	0.8502942294771394
EGFR			6.12032560132199e-06	9.049773755656107e-05	0.848785110962226
GNAL			6.12032560132199e-06	9.049773755656107e-05	0.8484969229632948
NTRK2			6.12032560132199e-06	9.049773755656107e-05	0.8456241901885985
KLHL21			6.12032560132199e-06	9.049773755656107e-05	0.8451585112292297
RAPGEF3			6.12032560132199e-06	9.049773755656107e-05	0.8436267003309864
TGFBR3			6.12032560132199e-06	9.049773755656107e-05	0.8427524315021451
ANKRD29			6.12032560132199e-06	9.049773755656107e-05	0.8424250060630036
LIMS2			6.12032560132199e-06	9.049773755656107e-05	0.8422089111391028
CACHD1			6.12032560132199e-06	9.049773755656107e-05	0.8403105031926789
AC022400.7			6.12032560132199e-06	9.049773755656107e-05	0.835892338640708
USHBP1			6.12032560132199e-06	9.049773755656107e-05	0.8356676420787637
TINAGL1			6.12032560132199e-06	9.049773755656107e-05	0.8352914949600733
RGS6			6.12032560132199e-06	9.049773755656107e-05	0.8347630481897066
MOB3C			6.12032560132199e-06	9.049773755656107e-05	0.8343121921422825
DMD			6.12032560132199e-06	9.049773755656107e-05	0.8334154541280672
CYYR1			6.12032560132199e-06	9.049773755656107e-05	0.8263846896016603
AVPR2			6.12032560132199e-06	9.049773755656107e-05	0.8250224623716527
TSLP			6.12032560132199e-06	9.049773755656107e-05	0.8246801643070233
APCDD1			6.12032560132199e-06	9.049773755656107e-05	0.8236207193775982
KLHL29			6.12032560132199e-06	9.049773755656107e-05	0.8232356814134307
RASIP1			6.12032560132199e-06	9.049773755656107e-05	0.8228977533359034
MAMDC2			6.12032560132199e-06	9.049773755656107e-05	0.8172693755606272
FGF14-AS2			6.12032560132199e-06	9.049773755656107e-05	0.8165442343585828
ADAM33			6.12032560132199e-06	9.049773755656107e-05	0.8135633620471745
HSPB2			6.12032560132199e-06	9.049773755656107e-05	0.8134135490303158
STAT5B			6.12032560132199e-06	9.049773755656107e-05	0.8122082175264784
EEPD1			6.12032560132199e-06	9.049773755656107e-05	0.8104179697577293
CDC14B			6.12032560132199e-06	9.049773755656107e-05	0.8101442518246025
FAM107A			6.12032560132199e-06	9.049773755656107e-05	0.8053203181970369
MSRA			6.12032560132199e-06	9.049773755656107e-05	0.8040826480201354
ARHGEF4			6.12032560132199e-06	9.049773755656107e-05	0.803907505338983
CSF1			6.12032560132199e-06	9.049773755656107e-05	0.8037740583321515
ARHGEF10			6.12032560132199e-06	9.049773755656107e-05	0.8033368921898832
PPM1F			6.12032560132199e-06	9.049773755656107e-05	0.8026722011467996
GPRC5B			6.12032560132199e-06	9.049773755656107e-05	0.8026413552572192
ADAMTS5			6.12032560132199e-06	9.049773755656107e-05	0.8022077951528399
PTPN21			6.12032560132199e-06	9.049773755656107e-05	0.8012010534477547
VSIR			6.12032560132199e-06	9.049773755656107e-05	0.8010712270886173
IL11RA			6.12032560132199e-06	9.049773755656107e-05	0.7981699268022873
METTL7A			6.12032560132199e-06	9.049773755656107e-05	0.7980704193524499
CAVIN1			6.12032560132199e-06	9.049773755656107e-05	0.7979230844886206
TMEM246			6.12032560132199e-06	9.049773755656107e-05	0.7972883817092045
FES			6.12032560132199e-06	9.049773755656107e-05	0.7961246305799645
SOBP			6.12032560132199e-06	9.049773755656107e-05	0.7947514432370832
ROBO3			6.12032560132199e-06	9.049773755656107e-05	0.7936653176568076
CXCL2			6.12032560132199e-06	9.049773755656107e-05	0.7934035588044335
HYAL1			6.12032560132199e-06	9.049773755656107e-05	0.7933378410200205
KL			6.12032560132199e-06	9.049773755656107e-05	0.7932185650676412
MSRB3			6.12032560132199e-06	9.049773755656107e-05	0.7929548428415315
TMEM47			6.12032560132199e-06	9.049773755656107e-05	0.7919153792045978
SYNPO2			6.12032560132199e-06	9.049773755656107e-05	0.7916482767484743
AP002004.1			6.12032560132199e-06	9.049773755656107e-05	0.7907380884210877
MIR497HG			6.12032560132199e-06	9.049773755656107e-05	0.7891470046716432
CADM3-AS1			6.12032560132199e-06	9.049773755656107e-05	0.7890780070013935
LMOD1			6.12032560132199e-06	9.049773755656107e-05	0.7885500951287673
NDRG2			6.12032560132199e-06	9.049773755656107e-05	0.7878838419020306
CEP112			6.12032560132199e-06	9.049773755656107e-05	0.7876752315963643
ADCY4			6.12032560132199e-06	9.049773755656107e-05	0.7870654580320312
SIRPA			6.12032560132199e-06	9.049773755656107e-05	0.786531311664332
GPIHBP1			6.12032560132199e-06	9.049773755656107e-05	0.7852810542550988
BLCAP			6.12032560132199e-06	9.049773755656107e-05	0.7845231981234178
LDB2			6.12032560132199e-06	9.049773755656107e-05	0.784059361151434
CALCOCO1			6.12032560132199e-06	9.049773755656107e-05	0.7838069316900765
CCM2L			6.12032560132199e-06	9.049773755656107e-05	0.7831937515503492
CBX7			6.12032560132199e-06	9.049773755656107e-05	0.7828487874753302
EFEMP1			6.12032560132199e-06	9.049773755656107e-05	0.7827817128102608
DNAJB4			6.12032560132199e-06	9.049773755656107e-05	0.7824144958880358
PNMA8B			6.12032560132199e-06	9.049773755656107e-05	0.7810941853101178
AMOTL2			6.12032560132199e-06	9.049773755656107e-05	0.7807058451726177
JADE1			6.12032560132199e-06	9.049773755656107e-05	0.7796961125955969
EZH1			6.12032560132199e-06	9.049773755656107e-05	0.7786811790564339
CRIM1			6.12032560132199e-06	9.049773755656107e-05	0.7781360120164784
LGI4			6.12032560132199e-06	9.049773755656107e-05	0.7779538722039371
YAP1			6.12032560132199e-06	9.049773755656107e-05	0.7779496216831171
CCL14			6.12032560132199e-06	9.049773755656107e-05	0.7776141923177047
ARHGEF40			6.12032560132199e-06	9.049773755656107e-05	0.7775623457827778
TMEM133			6.12032560132199e-06	9.049773755656107e-05	0.7772305193378592
AQP1			6.12032560132199e-06	9.049773755656107e-05	0.7760606359491397
FAM49A			6.12032560132199e-06	9.049773755656107e-05	0.7751349821784899
ZNF204P			6.12032560132199e-06	9.049773755656107e-05	0.773135164424379
LCAT			6.12032560132199e-06	9.049773755656107e-05	0.7728493225221048
DIXDC1			6.12032560132199e-06	9.049773755656107e-05	0.7726774358352255
DHRS12			6.12032560132199e-06	9.049773755656107e-05	0.7726625652942629
EOGT			6.12032560132199e-06	9.049773755656107e-05	0.7726209870130699
ATOH8			6.12032560132199e-06	9.049773755656107e-05	0.7724956734371214
INPP1			6.12032560132199e-06	9.049773755656107e-05	0.772204991578907
CCDC178			6.12032560132199e-06	9.049773755656107e-05	0.7720960763684073
